# Voltage [mV]	Duration [ms]
-8.84102683462494667e+01	 1.98861634543125319e+03
 5.99975176907340995e+01	 1.83328178539790065e+03
-1.17379424877231955e+02	 1.99970668739871758e+03
-4.26859969035803459e+01	 1.99285579750494639e+03
-4.34660390788449718e+01	 1.99729194579340992e+03
-4.50026769172483370e+01	 1.99240304020088638e+03
-4.68212492053459641e+01	 1.99782979665011180e+03
 5.99990025205344182e+01	 1.98199230191205015e+03
-1.18081805866939447e+02	 1.97787995434731647e+03
-4.32684352790961242e+01	 1.99765499188819081e+03
-4.46311317042751341e+01	 1.99768321309644534e+03
-4.60091124367601765e+01	 1.99670011610289134e+03
 5.99973058671075705e+01	 1.99554663457241259e+03
 3.08937163969698076e+01	 1.99991270962306362e+03
 3.07879640045998428e+01	 1.99996817645741521e+03
-3.49347815709599274e+01	 1.99941657055427231e+03
-1.05112386990453359e+01	 1.12243890363235238e+02
 5.99982058820359612e+01	 7.93593202681750199e+02
-3.46798740798374752e+01	 1.99932303698382498e+03
 5.99997380336078265e+01	 1.83031052455124563e+03
