# Voltage [mV]	Duration [ms]
 5.99982740454567249e+01	 1.86883271386135925e+03
-1.19580040029933613e+02	 1.99171141974219267e+03
-4.22475835687984755e+01	 1.99121374702422941e+03
-4.43099960702246420e+01	 1.99999706353269812e+03
-1.19931121006375704e+02	 1.99624454587781861e+03
 5.99945796379242893e+01	 1.99999102994193345e+03
-8.84703337470973281e+01	 1.99945999531553230e+03
-4.41281381988449226e+01	 1.99849904281953150e+03
-9.37804573434758026e+00	 5.00110714395858977e+01
 5.99997743403666561e+01	 1.99738085120380492e+03
 3.10279403343698448e+01	 1.99969605426932048e+03
 3.12927251945451417e+01	 1.99989323537826840e+03
 5.99441267979927090e+01	 1.99998551843396899e+03
-3.15245122011856296e+01	 1.99908162237535089e+03
 5.99999993923327111e+01	 1.55594280724605915e+03
-1.19999995810288127e+02	 1.99234328940854698e+03
-4.22496208619312057e+01	 1.99968799171400678e+03
-4.39852628066050642e+01	 1.99993266599851995e+03
-1.19995697058593763e+02	 1.99600851076757635e+03
 5.99982328549000954e+01	 1.98570019436805205e+03
