# Voltage [mV]	Duration [ms]
 5.99998272557718906e+01	 1.96441024024529315e+03
 5.93218019233455323e+01	 1.97981745357739692e+03
-3.44007133548995228e+01	 1.99577991091898866e+03
-1.06554439276270045e+02	 1.29710274408154169e+03
-7.30931405655402955e+00	 1.94989191153794491e+03
-8.85874403742763121e+01	 1.54699796788480467e+03
-5.49189734085075827e+01	 1.98766295955750911e+03
-5.32157454584746858e+00	 1.94396560755824385e+03
-8.85786735000629477e+01	 1.98759131845179263e+03
-2.05348124067678128e+01	 1.99701456388253723e+03
-8.85734610870253363e+01	 1.91554556371936701e+03
-5.10303936667805118e+01	 7.86479790100545131e+01
-1.19484218367898904e+02	 1.80355188225144025e+03
 5.94767433720043641e+01	 1.69351382885838370e+03
-8.84761270856840696e+01	 1.98387333761802597e+03
 4.91381542210161228e+01	 1.98064237173502511e+03
-1.19850494234362856e+02	 1.99871032102008849e+03
-5.47249019911091494e+01	 1.97927523485857046e+03
 5.99247447173037529e+01	 5.02362076496291223e+01
-2.76374398367857026e+01	 1.94485744053025519e+03
