# Voltage [mV]	Duration [ms]
-1.19979474297424971e+02	 1.97293797666952150e+03
-3.84626088085435640e+01	 1.98312241771240838e+03
-1.17977414872278857e+02	 1.98584041794488576e+03
 5.98969415314501816e+01	 1.99908665188345776e+03
-1.18695590067474441e+02	 1.99693879148522683e+03
-3.75234885233888775e+01	 1.99063982140993016e+03
-7.43612924456927260e+00	 1.98973004886880494e+03
-1.19677092176611339e+02	 1.95468162365167314e+03
 5.98780741257824047e+01	 1.99882555585702539e+03
 5.99997727494334185e+01	 1.98076038202904829e+03
 3.69079283810105494e+01	 1.99540194148780142e+03
-1.99667575437057820e+01	 1.99891810197327391e+03
-1.19397580146720060e+02	 1.99988970039027254e+03
 5.98499594252615736e+01	 1.99731042572246838e+03
-2.23962776709199574e+01	 1.98784866151581855e+03
-1.14695084592453256e+02	 1.98890698731844009e+03
-3.78363601175994830e+01	 1.99890286051266503e+03
-6.26008700006984498e+00	 1.99962012671808088e+03
-1.18607860949416747e+02	 1.99861633150083435e+03
-8.55485794791354692e+00	 1.99907983796275084e+03
