# Voltage [mV]	Duration [ms]
-3.39136841769199862e+01	 1.99422306530074025e+03
-7.41893383901803816e+00	 1.99994830379605969e+03
-1.19411221534728242e+02	 1.99366934139453019e+03
 5.99987352004342256e+01	 1.87090946062637818e+03
-1.19832083884330217e+02	 1.99510724058289225e+03
-5.15215644680011877e+01	 1.99616536598486255e+03
 5.99717488128544289e+01	 1.99817022552566368e+03
-2.38206007223429168e+01	 1.99859823476025826e+03
-1.19933061851849331e+02	 1.97110419741307510e+03
-7.76291495280675292e+00	 1.99755029741139197e+03
-1.19465331495814709e+02	 1.99145794522705160e+03
-3.61649192573690215e+01	 1.96623957499251151e+03
-7.83961601156414645e+00	 1.93368064943059858e+03
-1.19628374287717776e+02	 1.87507292001482119e+03
 5.99999495072816273e+01	 1.98150037030950284e+03
-2.04537814007585013e+01	 1.98445170019556372e+03
-1.19596560061190203e+02	 1.94395720121448517e+03
 5.97341881408169684e+01	 1.99995389451788833e+03
 5.99511297870858755e+01	 1.97248317655633991e+03
 4.21431973422117778e+01	 1.96963482587374347e+03
