# Voltage [mV]	Duration [ms]
-5.50649921855510911e+01	 5.59638944709368289e+01
 5.99996873533998212e+01	 1.96853883053961056e+02
-1.19853886768414554e+02	 6.34819548044638282e+02
-3.61129006650469933e+01	 6.37245183934072372e+01
-1.19541639537625954e+02	 7.10750238927933964e+01
-3.59121953947980472e+01	 5.18173108243564684e+01
-4.24721745146919858e+01	 3.51604064468681088e+02
 5.99986874542123587e+01	 1.39897211596894635e+02
-1.18192454660464492e+02	 5.90820365385304740e+01
-1.17798097212606223e+02	 5.99018262956810403e+01
-1.14822407494307640e+02	 5.55670353660473140e+01
-1.19139661040195193e+02	 5.18894545157223561e+01
 5.99744651373491990e+01	 1.69454762414434100e+02
 1.94093965873962020e+01	 2.51753884902188929e+02
 2.71676898001673806e+01	 5.04455006633876195e+01
-3.87117090355846329e+01	 5.71739133085348712e+01
-1.19990543089582275e+02	 5.29297584267027048e+01
 5.15878526805309434e-01	 5.00347281316463253e+01
-1.08129804358203586e+02	 5.12793713306183960e+01
 5.98475318446772349e+01	 5.03314357527774376e+01
