# Voltage [mV]	Duration [ms]
-4.12698730121455384e+01	 5.21018894497790797e+01
-1.06378662471334053e+02	 5.01036850379790977e+01
-1.10137318386639251e+02	 5.09875781005985829e+01
 5.99070287015632346e+01	 5.00372604343910510e+01
 5.99965409383577253e+01	 4.93777122484750009e+02
-1.19998028205331877e+02	 1.99942044711414769e+03
-1.14315087921014239e+02	 5.51566125156971268e+01
-4.20220424137188644e+01	 2.92358682638051391e+02
 5.99995840986939868e+01	 7.96619860440184198e+02
 2.46756040479749856e+01	 1.70532835761849060e+03
-1.19998797081985373e+02	 1.99972819579243014e+03
 5.99997086451065798e+01	 1.73420430305228308e+02
-1.16298641786862575e+02	 6.47464074420868485e+01
 5.99715967537860877e+01	 1.29196789463356225e+02
-3.14545690671056661e+01	 3.09740772987857042e+02
 5.99419373488616998e+01	 1.48216745517593807e+02
-1.19915488986231253e+02	 6.73526316281124878e+02
-4.24942955157632269e+01	 1.89451687666596831e+03
 5.99850751039316776e+01	 5.06002471378032112e+02
-3.44024758949562823e+01	 6.12014732339261016e+01
