# Voltage [mV]	Duration [ms]
-1.19938645663618175e+02	 5.01094408453234124e+01
-1.19999999942798823e+02	 5.00000000001600426e+01
-4.25094187424344767e+01	 2.87488787819538743e+02
-1.19999933101314596e+02	 5.00000000000004903e+01
 6.00000000000000000e+01	 1.49375194583875953e+02
-1.19998121489192911e+02	 5.00000000000000000e+01
 5.99999997665589717e+01	 8.39529914459005369e+01
-3.38640717760929419e+01	 5.09367992625221220e+01
-1.19999996015007724e+02	 5.00013488889803384e+01
 5.99999999903579067e+01	 6.88766238865156595e+01
-3.39376861099679417e+01	 5.01766144351201149e+01
-1.13456802869050733e+02	 5.00000000000000000e+01
-1.06227990159456311e+02	 5.00000000000098339e+01
 5.99999999999958789e+01	 1.32691185762839950e+02
 1.81218922178560433e+01	 2.18317604779910340e+02
-1.19999998401830240e+02	 3.42347199665040023e+02
-1.20000000000000000e+02	 5.14703561399728358e+01
-1.19976424644812440e+02	 5.00000000000039577e+01
-3.88176271733997567e+01	 5.49698574044510480e+01
-4.68473084543453240e+01	 6.08193097040788260e+01
