# Voltage [mV]	Duration [ms]
-3.00635699858645467e+00	 1.41869534342688644e+03
 5.99885623737917726e+01	 1.65128104865517662e+03
-3.84771236362608846e+01	 3.37178927850581658e+02
-7.85038360840762977e+01	 1.33024939222144872e+03
 5.99944582946604470e+01	 1.35237986923088260e+03
-1.19981102815925411e+02	 6.94000762880995580e+02
-4.36020302463147473e+01	 1.61808316992279060e+03
 4.67956369583601717e+00	 1.68820154921257881e+03
-3.60991475249281564e+01	 5.55085007277685804e+02
-1.19998537955841812e+02	 4.12828287611438384e+02
-4.77050744129475213e+00	 1.44907640751098847e+03
-1.19989509488035310e+02	 1.60945225769790432e+03
 5.99875331355514163e+01	 1.29698579591175030e+03
-1.19994556905779760e+02	 1.53988136527823804e+03
-2.86644703132638874e+01	 1.37698834196324879e+03
-1.19996720391977917e+02	 1.97374992212055730e+02
-6.72844946931103891e+01	 1.59790874279779769e+03
 5.99620175422310737e+01	 6.36080547967273333e+02
 5.98728506598576971e+01	 1.68475542370030166e+03
-2.74227274404133254e+01	 1.51294051322323048e+03
