# Voltage [mV]	Duration [ms]
-6.97784150061754360e+01	 1.46791184030511909e+03
 5.99999017654447400e+01	 1.99992562103663681e+03
-1.19999997122803634e+02	 1.99764877912502857e+03
-2.47529087540835313e+01	 1.99876847749634476e+03
-1.19999953041040570e+02	 1.95141741519097991e+03
-2.85846204112152300e+01	 1.97696732648189527e+03
-1.15168202565208055e+00	 1.99995955031204517e+03
-1.19999927616539082e+02	 1.99889534491003110e+03
-2.98241049510858591e+00	 1.99900075592739313e+03
-1.19997441028123077e+02	 1.98509204345226249e+03
-2.46491477690691276e+01	 1.98202698937409809e+03
-1.19999883062577112e+02	 1.98287799582077605e+03
-6.76820621517081520e+01	 1.97373054931669276e+03
 5.99978789720803434e+01	 1.99696620884007575e+03
-1.19999942873658682e+02	 1.99173602265260183e+03
 5.99963210974122347e+01	 1.99973172370768748e+03
 2.63124748133950206e+01	 1.99829928832328301e+03
-2.01332350662882789e+01	 1.99511353913981361e+03
 5.99997579585547598e+01	 1.99590751420057609e+03
-1.74379909855295523e+01	 1.99920794799129862e+03
