# Voltage [mV]	Duration [ms]
 5.99991214903274539e+01	 3.61950019002550562e+02
-9.35238414668561688e+01	 6.81563829471034296e+02
-9.02974328257161858e+01	 6.63055167631306858e+02
-8.64178181441961613e+01	 3.44321793322581584e+02
-8.40268720239613316e+01	 6.45668754317576258e+02
 5.99999654408800041e+01	 2.87399600321594392e+02
-9.31868715614876209e+01	 6.55740406744284314e+02
-8.85778641966833789e+01	 8.72550035120569646e+02
 5.99852529012719913e+01	 2.68064930185614514e+02
-9.44023143458422567e+01	 5.86234119408873994e+02
-9.03548069971332666e+01	 6.90756301154009634e+02
-8.97280047604532172e+01	 2.89864343265931495e+02
-8.73204103067429003e+01	 8.65362939058495726e+02
-8.54769435089033465e+01	 1.19560212048460971e+03
-7.99805264434167498e+01	 8.35748663229241856e+02
-7.95931190588061241e+01	 1.62694123208547899e+03
 5.99927286337865553e+01	 5.55054283319736214e+02
-9.11875233181016682e+01	 4.24380709955880434e+02
 2.68924508110258813e+01	 1.32279019773259961e+03
 1.89113687017901881e+01	 3.22448697649056953e+02
