# Voltage [mV]	Duration [ms]
-2.13346418580968873e+01	 1.99998052415890857e+03
-1.19255453705701697e+02	 5.13983556155410568e+01
-1.19464377269760362e+02	 1.63198744518507192e+03
-1.19999960862863801e+02	 5.01320913704973421e+01
-5.67016484522865483e+00	 1.99971978171611863e+03
-1.18771868289756213e+02	 5.90490583674504848e+01
-1.19999999591989862e+02	 6.47188557518656040e+01
-1.17257266455378300e+02	 6.07473075474043327e+01
-1.19999999996537753e+02	 5.00000020763589959e+01
-1.15394859314447913e+02	 5.01288996771727184e+01
-1.19988220660747558e+02	 5.33654350190423727e+01
-1.19999830327963721e+02	 5.03982144684253015e+01
 5.99921477581104057e+01	 1.94910552312170989e+03
-1.19999953477527527e+02	 5.94335294949042847e+01
-1.19999999586073926e+02	 5.00032406599573278e+01
-1.17340218020192609e+02	 5.00002236679993217e+01
-1.19999997076102389e+02	 6.01564098007959487e+01
 5.96829258054114291e+01	 5.73998344559298289e+02
 5.99999467950616179e+01	 5.30520218578759923e+01
-1.18163145782832316e+02	 1.73338875710341028e+02
