# Voltage [mV]	Duration [ms]
 5.99999252766497193e+01	 1.78854933189696027e+02
 5.99952403034887141e+01	 5.55047297432171618e+01
-1.74465852616197594e+01	 1.99999976289131837e+03
-1.19999969350517688e+02	 5.06760015173346972e+01
-1.19999738005226988e+02	 5.00040636829987974e+01
-1.19999593477079628e+02	 5.00000050308471842e+01
 5.99999877366920202e+01	 5.00000905423372117e+01
-1.19999952909026732e+02	 1.99999986628637066e+03
-1.19983185649061369e+02	 5.00000474530440684e+01
-1.19999914362472438e+02	 5.06990016505538961e+01
-1.19348964944860526e+02	 5.21340362409594320e+01
-1.19984329813585305e+02	 5.00016148381479795e+01
-6.67362535112567912e+00	 1.99999892485528562e+03
 5.99999999983502335e+01	 5.02147905109672763e+01
-1.19740821746089054e+02	 5.66306190268290024e+01
 5.92238093800308718e+01	 1.99988344491510020e+03
-1.19999999998512308e+02	 5.14613187412483626e+01
-1.19922869559218327e+02	 5.46247946485805613e+01
-1.19992420960517052e+02	 5.00000812099177665e+01
-1.19999994457349544e+02	 5.00000038049262656e+01
